ID;Humidity;Temperature1;Temperature2;Lux;UV;Pressure;Lat;Lon;Altitude;Speed;p25;p10
312;84.93;7.79;8.8;8;0;96694.31;8.505316484;47.41795753;515.4;1.24;22;27.6
313;84.93;7.77;8.8;17;0;96694.31;8.505246051;47.41793449;515.4;1.24;21.8;27.5
314;84.83;7.79;8.8;9;0;96686.94;8.505175619;47.41791146;515.4;1.24;21.8;28.6
315;84.97;7.75;8.79;2;0;96680.69;8.505105186;47.41788843;515.4;1.24;21.8;27.9
316;84.97;7.75;8.78;3;0;96673.33;8.505034753;47.41786539;515.4;1.24;22.1;28.4
317;85.07;7.75;8.78;5;0;96669.06;8.50496432;47.41784236;515.4;1.24;22.3;29.5
318;85.07;7.74;8.78;12;0;96663.48;8.504893888;47.41781932;515.4;1.24;22.5;29.4
319;85.07;7.74;8.77;19;0;96658.06;8.504823455;47.41779629;515.4;1.24;22.5;29.4
320;85.17;7.72;8.76;10;0;96654.45;8.504753023;47.41777325;515.4;1.24;23;31.1
321;85.17;7.69;8.75;7;0;96650.5;8.50468259;47.41775022;515.4;1.24;22.7;31.6
322;85.17;7.68;8.74;8;0;96644.66;8.504672478;47.41774691;515.4;1.24;22.4;31.2
323;85.17;7.67;8.73;7;0;96638.25;8.504595627;47.41775666;515.4;1.24;22.4;31.2
324;85.17;7.67;8.72;21;0;96629.15;8.504518775;47.41776641;515.4;1.24;22;30.4
325;85.17;7.64;8.71;11;0;96626.03;8.504441923;47.41777616;515.4;1.24;22.2;31.2
326;85.17;7.64;8.71;13;0;96619.95;8.504365072;47.41778591;515.4;1.24;21.8;29.2
327;85.17;7.63;8.71;11;0;96618.06;8.50428822;47.41779566;515.4;1.24;21.8;28.7
328;85.28;7.64;8.7;13;0;96607.48;8.504211368;47.41780541;515.4;1.24;21.9;29.2
329;85.28;7.63;8.69;20;0;96600.52;8.504134517;47.41781516;515.4;1.24;21.7;28.4
330;85.28;7.63;8.69;27;0;96600.03;8.504057665;47.41782491;515.4;1.24;21.7;27.5
331;85.49;7.64;8.69;10;0;96592.31;8.503980813;47.41783466;515.4;1.24;22.9;30.3
332;85.69;7.63;8.67;8;0;96584.83;8.503953364;47.41783814;515.4;1.24;24.5;36
