"Series;""Time"";""Value""",
"PM10;""2018-12-03T17:15:00+01:00"";4",714
"PM10;""2018-12-03T17:30:00+01:00"";4",675
"PM10;""2018-12-03T17:45:00+01:00"";4",629
"PM10;""2018-12-03T18:00:00+01:00"";4",519
"PM10;""2018-12-03T18:15:00+01:00"";4",49
"PM10;""2018-12-03T18:30:00+01:00"";4",443
"PM10;""2018-12-03T18:45:00+01:00"";4",368
"PM10;""2018-12-03T19:00:00+01:00"";4",331
"PM10;""2018-12-03T19:15:00+01:00"";4",293
"PM10;""2018-12-03T19:30:00+01:00"";4",226
"PM10;""2018-12-03T19:45:00+01:00"";4",117
"PM10;""2018-12-03T20:00:00+01:00"";4",29
"PM10;""2018-12-03T20:15:00+01:00"";3",964
"PM10;""2018-12-03T20:30:00+01:00"";3",889
"PM10;""2018-12-03T20:45:00+01:00"";3",762
"PM10;""2018-12-03T21:00:00+01:00"";3",663
"PM10;""2018-12-03T21:15:00+01:00"";3",538
"PM10;""2018-12-03T21:30:00+01:00"";3",425
"PM10;""2018-12-03T21:45:00+01:00"";3",329
"PM10;""2018-12-03T22:00:00+01:00"";3",236
"PM10;""2018-12-03T22:15:00+01:00"";3",151
"PM10;""2018-12-03T22:30:00+01:00"";3",93
"PM10;""2018-12-03T22:45:00+01:00"";3",53
"PM10;""2018-12-03T23:00:00+01:00"";3",19
"PM10;""2018-12-03T23:15:00+01:00"";2",993
"PM10;""2018-12-03T23:30:00+01:00"";2",958
"PM10;""2018-12-03T23:45:00+01:00"";2",916
"PM10;""2018-12-04T00:00:00+01:00"";2",887
"PM10;""2018-12-04T00:15:00+01:00"";2",848
"PM10;""2018-12-04T00:30:00+01:00"";2",797
"PM10;""2018-12-04T00:45:00+01:00"";2",749
"PM10;""2018-12-04T01:00:00+01:00"";2",714
"PM10;""2018-12-04T01:15:00+01:00"";2",695
"PM10;""2018-12-04T01:30:00+01:00"";2",685
"PM10;""2018-12-04T01:45:00+01:00"";2",684
"PM10;""2018-12-04T02:00:00+01:00"";2",687
"PM10;""2018-12-04T02:15:00+01:00"";2",693
"PM10;""2018-12-04T02:30:00+01:00"";2",691
"PM10;""2018-12-04T02:45:00+01:00"";2",7
"PM10;""2018-12-04T03:00:00+01:00"";2",713
"PM10;""2018-12-04T03:15:00+01:00"";2",723
"PM10;""2018-12-04T03:30:00+01:00"";2",727
"PM10;""2018-12-04T03:45:00+01:00"";2",727
"PM10;""2018-12-04T04:00:00+01:00"";2",727
"PM10;""2018-12-04T04:15:00+01:00"";2",73
"PM10;""2018-12-04T04:30:00+01:00"";2",731
"PM10;""2018-12-04T04:45:00+01:00"";2",739
"PM10;""2018-12-04T05:00:00+01:00"";2",746
"PM10;""2018-12-04T05:15:00+01:00"";2",756
"PM10;""2018-12-04T05:30:00+01:00"";2",764
"PM10;""2018-12-04T05:45:00+01:00"";2",777
"PM10;""2018-12-04T06:00:00+01:00"";2",798
"PM10;""2018-12-04T06:15:00+01:00"";2",858
"PM10;""2018-12-04T06:30:00+01:00"";2",455
"PM10;""2018-12-04T06:45:00+01:00"";2",385
